STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020118,31, , ,W,9999,38, , ,W,9999,24, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020119,27, , ,W,9999,32, , ,W,9999,22, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020120,25, , ,W,9999,30, , ,W,9999,20, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020121,36, , ,W,9999,43, , ,W,9999,29, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020122,40, , ,W,9999,53, , ,W,9999,26, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020123,50, , ,W,9999,55, , ,W,9999,45, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020125,41, , ,W,9999,46, , ,W,9999,36, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020126,41, , ,W,9999,51, , ,W,9999,30, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020127,46, , ,W,9999,57, , ,W,9999,35, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020128,49, , ,W,9999,64, , ,W,9999,34, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020129,59, , ,W,9999,65, , ,W,9999,53, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020130,46, , ,W,9999,53, , ,W,9999,38, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020131,52, , ,W,9999,65, , ,W,9999,38, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020201,44, , ,W,9999,60, , ,W,9999,28, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020202,30, , ,W,9999,38, , ,W,9999,22, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020203,38, , ,W,9999,45, , ,W,9999,30, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020204,26, , ,W,9999,35, , ,W,9999,16, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020205,25, , ,W,9999,36, , ,W,9999,13, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020206,29, , ,W,9999,37, , ,W,9999,20, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020207,42, , ,W,9999,51, , ,W,9999,32, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020208,39, , ,W,9999,52, , ,W,9999,26, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020209,46, , ,W,9999,60, , ,W,9999,31, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020210,42, , ,W,9999,52, , ,W,9999,31, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020211,32, , ,W,9999,36, , ,W,9999,27, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020212,39, , ,W,9999,46, , ,W,9999,32, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020213,30, , ,W,9999,36, , ,W,9999,23, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020214,33, , ,W,9999,44, , ,W,9999,21, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020215,43, , ,W,9999,52, , ,W,9999,33, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020216,41, , ,W,9999,50, , ,W,9999,31, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020217,29, , ,W,9999,35, , ,W,9999,23, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020218,33, , ,W,9999,44, , ,W,9999,21, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020219,44, , ,W,9999,53, , ,W,9999,35, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020220,50, , ,W,9999,56, , ,W,9999,44, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020221,39, , ,W,9999,45, , ,W,9999,33, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020222,29, , ,W,9999,33, , ,W,9999,25, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020223,31, , ,W,9999,42, , ,W,9999,20, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020224,40, , ,W,9999,53, , ,W,9999,27, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020225,53, , ,W,9999,65, , ,W,9999,41, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020226,34, , ,W,9999,47, , ,W,9999,20, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020227,21, , ,W,9999,25, , ,W,9999,17, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020228,23, , ,W,9999,31, , ,W,9999,15, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020301,37, , ,W,9999,47, , ,W,9999,27, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020302,43, , ,W,9999,49, , ,W,9999,37, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020303,33, , ,W,9999,49, , ,W,9999,16, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020304,14, , ,W,9999,21, , ,W,9999,6, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020305,33, , ,W,9999,45, , ,W,9999,21, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020306,50, , ,W,9999,60, , ,W,9999,39, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020307,52, , ,W,9999,64, , ,W,9999,40, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020308,61, , ,W,9999,72, , ,W,9999,49, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020309,46, , ,W,9999,62, , ,W,9999,29, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020310,27, , ,W,9999,33, , ,W,9999,20, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020311,31, , ,W,9999,44, , ,W,9999,18, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020312,42, , ,W,9999,47, , ,W,9999,36, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020313,50, , ,W,9999,60, , ,W,9999,39, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020314,52, , ,W,9999,69, , ,W,9999,35, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020315,57, , ,W,9999,66, , ,W,9999,47, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020316,40, , ,W,9999,47, , ,W,9999,33, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020317,39, , ,W,9999,44, , ,W,9999,34, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020318,48, , ,W,9999,54, , ,W,9999,42, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020319,44, , ,W,9999,49, , ,W,9999,39, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020320,42, , ,W,9999,47, , ,W,9999,37, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020321,34, , ,W,9999,49, , ,W,9999,19, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020322,25, , ,W,9999,33, , ,W,9999,16, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020323,37, , ,W,9999,48, , ,W,9999,25, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020324,42, , ,W,9999,50, , ,W,9999,33, , ,W,9999
GHCND:USW00004804,COLUMBUS OHIO STATE UNIVERSITY AIRPORT OH US,275.8,40.07806,-83.07806,20020325,34, , ,W,9999,38, , ,W,9999,30, , ,W,9999
