             ys        zs
 [1,] 10.085675  1.000000
 [2,]  9.967995  1.830508
 [3,]  8.971247  2.661017
 [4,] 10.153494  3.491525
 [5,] 11.868195  4.322034
 [6,] 13.389459  5.152542
 [7,] 13.749552  5.983051
 [8,] 16.564999  6.813559
 [9,] 16.754204  7.644068
[10,] 18.966924  8.474576
[11,] 20.747808  9.305085
[12,] 20.598367 10.135593
[13,] 19.692546 10.966102
[14,] 20.957158 11.796610
[15,] 20.728168 12.627119
[16,] 20.083580 13.457627
[17,] 19.042542 14.288136
[18,] 19.803754 15.118644
[19,] 20.925044 15.949153
[20,] 20.482770 16.779661
[21,] 19.403599 17.610169
[22,] 17.814674 18.440678
[23,] 19.325117 19.271186
[24,] 17.880931 20.101695
[25,] 18.734799 20.932203
[26,] 19.626337 21.762712
[27,] 19.312444 22.593220
[28,] 19.127841 23.423729
[29,] 19.898239 24.254237
[30,] 19.746219 25.084746
[31,] 18.146260 25.915254
[32,] 19.922054 26.745763
[33,] 20.968566 27.576271
[34,] 20.184926 28.406780
[35,] 18.620056 29.237288
[36,] 18.564486 30.067797
[37,] 20.362087 30.898305
[38,] 18.240913 31.728814
[39,] 19.675456 32.559322
[40,] 19.348437 33.389831
[41,] 21.086551 34.220339
[42,] 19.237455 35.050847
[43,] 19.171337 35.881356
[44,] 20.834474 36.711864
[45,] 19.032348 37.542373
[46,] 19.971185 38.372881
[47,] 20.232525 39.203390
[48,] 19.698791 40.033898
[49,] 19.322385 40.864407
[50,] 20.655228 41.694915
[51,] 19.599362 42.525424
[52,] 19.665443 43.355932
[53,] 21.367954 44.186441
[54,] 22.137767 45.016949
[55,] 20.505819 45.847458
[56,] 20.786342 46.677966
[57,] 19.097788 47.508475
[58,] 20.532897 48.338983
[59,] 19.354106 49.169492
[60,] 20.290987 50.000000
