     X           Y
 -0.45898486  5.412404818
  7.56756630 11.179693001
  2.01487438 15.161892481
  4.86984103 29.272044095
  3.41211636  0.261381719
 10.79878567 28.895359465
  9.05477629 30.808413405
  6.19433695 19.290057822
  7.74122678 20.944770497
  3.41530062 -5.952578007
 -1.12136455  0.485072811
  4.37456168  1.048138822
  7.26225193 22.780049872
  3.16235029  7.135664082
 10.22870248 23.399751653
  6.85653979 13.995823929
  9.73209005 23.852541024
  9.33674066 32.941170088
  5.35269669  5.850453496
  8.36590348 27.480759829
  8.31265320 33.462532748
  5.63589126  0.190212425
  6.84019130 19.308009534
  1.14618221 -5.143337916
  3.73014989  4.624576470
  4.64060997 11.271667351
 -1.27763950 -9.534373441
  3.71752262  7.052639767
 13.90979743 27.267323887
  3.25830376  5.496385495
  4.22825737  9.008699222
  7.46431893 18.133836893
  5.73837456 10.331136751
  0.78557386  0.292425671
  6.10828756 27.630380089
  8.38027020 19.770204049
  8.18008864 26.780248557
  2.04393070 -2.918026959
  6.65445985 21.271126022
  0.80852375 10.661062621
  8.34765214 25.621282401
 11.25175534 22.242906961
  4.90578425 24.769201745
  3.56075053 16.824274266
  2.62508831 14.767279724
  7.16329909 19.949922881
  2.99622052 -8.665810988
  4.46566614 11.545458824
  6.81199412 23.127429514
  4.35006136 17.119364511
  4.90672906 13.917288784
 10.68274761 26.982064803
  8.90140266  9.382090021
  5.07736532  0.092148651
 -1.03325622 -6.873778422
 -0.01159847 -3.126123312
  4.37762818  6.533067986
  5.16625980 10.397603759
  7.17071136 18.134792768
  1.44370431 10.290849603
  8.27569951 29.357749851
  1.08322523  8.418864736
  2.73354141 13.639464120
  1.88614554  7.340528300
  5.67912353 19.393992714
  2.56883202  3.753601339
  6.05235032 11.120314766
  6.64474516 25.186366657
 -0.87154809 -1.329512779
 11.98554845 30.430005379
  5.37846219  5.219475215
  9.78809522 24.364963714
  6.86677624  6.727608366
  1.38226542  7.134284093
  8.86114761 14.527090814
 11.37488201 27.038495646
  9.25744073 28.757372103
  5.14856140  9.086521002
  7.89588987 26.599872596
  9.38452839 32.037890933
  1.19412773  9.913630823
  8.61032648 19.963517796
  8.28459049  8.220154303
  7.43306743  5.423827814
  7.91046013 27.736515423
  1.81116697  5.169485800
  7.47520121 21.572574546
  3.50877557 -4.084865884
  5.40948278 -0.588960316
  2.24893210 -0.549578667
  4.62485162  0.670830927
  0.53519208 -0.999769678
  7.41832699 17.528268726
 11.13397215 28.815918651
 15.06829403 31.112972132
  7.86508307 23.504514865
  3.21644990 11.889115860
  4.99245674  7.631726761
  7.29705193 26.536691157
  7.31989919 16.017715192
  7.22973608 19.675096360
  6.16430705  6.676411458
  0.78304849  1.769154173
  7.51569019 33.419244078
  9.47007876 20.358945603
  2.58265295  4.151278216
 -0.55109783 -4.329342889
  2.63363552 11.878500821
  8.13602813 32.558074959
  7.16853247 15.355021662
  8.70715613 28.424547321
 10.00161745 21.112458638
  4.05495838  5.681496317
  4.70649848 10.471151920
  1.45107615 -1.909678561
 -0.46437890 -6.370275987
  6.82030237 21.320175616
  3.34479952 -2.433445063
  1.78531547 10.375448476
  8.57454800 20.967315310
  9.21701781 32.111926629
  6.42538227 13.513469989
  4.72666628 11.054086233
 -0.95720246  0.164746744
  8.24201998 23.566517432
  3.26214560  8.446029960
  7.36048255 13.412775988
  0.41998507  3.215712876
 -1.28897885  3.233363721
  4.24909996 17.367712821
  4.60467654 14.242822175
 -0.88121755 -2.152671699
 -0.11976239 -5.708193332
  5.23730193 18.286599800
  8.46466761 33.564671147
  6.63690710 15.913482370
  3.28171426 16.212644302
  6.78063257 16.446090296
  9.84584057 34.112682931
  4.99996268 12.991376866
  2.75540595 19.983000450
  5.41295402 17.966920325
  1.27739457  3.366533683
  4.27625010  3.316435574
 10.07473726 24.843057811
  6.98820074 11.143489688
 -0.47540724 -1.310305828
  5.87487491 24.228083478
  0.87083665 -6.738536692
  6.52613571 28.812698275
  2.93782533 18.745277458
  7.15429672 15.161254076
  3.42408625  4.280726700
  5.76010645 10.606898438
  2.59827422 15.852791459
  1.12775394 -1.148453809
  2.95380876 10.450944115
 -0.90607208 -2.832877174
  3.23598341  3.235765121
  0.49700936  0.552173127
  0.86101378  2.310290850
  6.33860411 29.360508553
  1.59390969 12.187755067
  6.07415303 23.680661038
 12.21378876 27.773942929
  2.81997690 11.502380955
 -1.58825245 -5.104618750
  0.54386402  6.183154246
  6.93597209 21.308940785
  2.58813951  8.072967554
  6.80827986 16.856849852
  7.84073266 28.608922370
 10.29665187 29.171092144
  5.35377505  7.950808931
  5.91707806  9.742563843
  9.44145838 31.090771234
  8.67188295 20.095500770
  7.25768106 26.526456075
  7.91888457 14.181440883
  8.71485264 27.745980489
  1.57428252  2.402853696
 -0.52760108  0.826720394
  7.44668345 31.738358110
  3.53603566 16.189330135
  9.92273048 29.489463651
  1.78773730  1.950683066
  6.32035618 23.535937862
  5.44831680 23.201706592
 12.46261993 32.032317861
  5.00296728 13.859741600
  4.61983183 21.382897189
  3.02903233  8.415878943
  1.19533013 -0.794663939
 10.93910306 28.956504860
  2.66246005  0.718162761
  6.12943767 18.219572482
 -0.97526584 -4.162688253
  9.99791595 26.419406547
  3.37944360  7.274509615
  9.30243288 23.499658167
  5.76884474  3.088022636
  2.54429479  4.218578388
  4.60287518 14.786793403
  1.15490836  4.648699577
  0.65887479 -0.104443284
  3.35604969 12.029174086
  6.36765128 13.229834205
