STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020118,40, , ,0,0700,25, , ,0,0700,25, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020119,32, , ,0,0700,24, , ,0,0700,25, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020120,28, , ,0,0700,18, , ,0,0700,18, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020121,34, , ,0,0700,16, , ,0,0700,31, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020122,39, , ,0,0700,30, , ,0,0700,31, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020123,48, , ,0,0700,31, , ,0,0700,44, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020124,49, , ,0,0700,42, , ,0,0700,44, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020125,52, , ,0,0700,29, , ,0,0700,29, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020126,44, , ,0,0700,29, , ,0,0700,37, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.8,-77.86667,20020127,53, , ,0,0700,29, , ,0,0700,36, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020128,63, , ,0,0700,34, , ,0,0700,40, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020129,62, , ,0,0700,40, , ,0,0700,53, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020130,64, , ,0,0700,52, , ,0,0700,52, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020131,54, , ,0,0700,34, , ,0,0700,34, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020201,45, , ,0,0700,34, , ,0,0700,45, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020202,59, , ,0,0700,25, , ,0,0700,25, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020203,35, , ,0,0700,25, , ,0,0700,27, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020204,43, , ,0,0700,27, , ,0,0700,30, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020205,32, , ,0,0700,13, , ,0,0700,14, , ,0,0700
GHCND:USC00368449,STATE COLLEGE PA US,356.6,40.79333,-77.86722,20020206,32, , ,0,0700,14, , ,0,0700,28, , ,0,0700
