Z,x,y,X1
2.619330,0,0,1.533450
8.235715,0.25,0,2.808162
5.76937,0.5,0,2.765332
10.25405,0.75,0,2.164199
5.560537,1,0,1.069283
3.549784,0,0.25,2.212351
7.30346,0.25,0.25,2.38239
8.796822,0.5,0.25,2.271512
8.414115,0.75,0.25,1.716409
5.24934,1,0.25,1.439378
8.122676,0,0.5,1.536339
7.496365,0.25,0.5,1.720028
5.477126,0.5,0.5,1.872402
-1.072864,0.75,0.5,1.389959
9.283252,1,0.5,2.439955
8.143985,0,0.75,2.283741
8.438421,0.25,0.75,2.508722
9.479438,0.5,0.75,2.412728
7.556692,0.75,0.75,1.946243
5.053914,1,0.75,0.8715573
9.882288,0,1,2.223126
11.50979,0.25,1,2.628258
6.595413,0.5,1,1.497938
0.8030204,0.75,1,1.61668
6.61758,1,1,1.757479
