         xs            ys
  5.3101733 -12.050060185
  7.4424780 -21.636755700
 11.4570673 -31.867285642
 18.1641558 -62.146714193
  4.0336386  -9.526834159
 17.9677937 -57.235877394
 18.8935054 -60.239347584
 13.2159558 -47.469785005
 12.5822809 -40.679268528
  1.2357254  11.387241581
  4.1194915  12.672146793
  3.5311351 -11.302018455
 13.7404569 -36.278607531
  7.6820744  -3.104969371
 15.3968284 -41.058833488
  9.9539848 -29.266966614
 14.3523702 -41.134756665
 19.8381219 -49.824747612
  7.6007036  -2.047663103
 15.5489044 -50.470786252
 18.6941046 -64.367078617
  4.2428504 -10.914382998
 13.0334753 -40.999622831
  2.5111019   2.935589575
  5.3444134   3.622585799
  7.7222819 -17.377271084
  0.2678067   7.377913302
  7.6477591 -32.195043519
 17.3938169 -56.366550775
  6.8069799  -6.191847614
  9.6416023 -27.299347208
 11.9913165 -42.583186195
  9.8708261 -27.717245585
  3.7243520  -0.003782028
 16.5474664 -53.499150461
 13.3693348 -36.536338570
 15.8847972 -46.350993299
  2.1588725   4.913153472
 14.4742189 -44.805143264
  8.2254886 -20.105210511
 16.4189259 -54.518136504
 12.9412039 -36.796911361
 15.6586552 -37.639550591
 11.0607262 -38.440408884
 10.5943916 -29.891280653
 15.7871246 -54.407328164
  0.4666240   9.811646838
  9.5446013 -32.981479113
 14.6462748 -45.044455002
 13.8546311 -27.756997669
  9.5523924 -19.978296611
 17.2241895 -41.920344755
  8.7619421 -21.952301211
  4.8959455  -5.031616182
  1.4135809   6.895007268
  1.9893232  -4.766104364
  6.3254341 -16.493566227
 10.3726853 -27.872217301
 13.2401015 -40.884734650
  8.1366037  -6.309205935
 18.2575185 -58.294607815
  5.8720675 -13.169138397
  9.1813145 -26.905914535
  6.6478935  -7.934887044
 13.0174093 -34.897768831
  5.1603356 -14.508828224
  9.5709050 -37.632718217
 15.3262134 -42.685693202
  1.6849383   7.764494394
 17.5064266 -62.487268696
  6.7814588 -26.977060530
 16.7888070 -62.471195232
  6.9336698 -16.141873047
  6.6754986 -20.256534060
  9.5270249 -27.801958901
 17.8439667 -63.014408752
 17.2867894 -59.007163935
  7.7997909 -24.212620306
 15.5464140 -48.323549663
 19.2123599 -57.415851426
  8.6931897 -39.510662881
 14.2502936 -42.622274194
  7.9998874  -9.591954306
  6.5070430 -14.622484556
 15.1417430 -61.221628453
  4.0538451 -11.291712963
 14.2224244 -45.649756255
  2.4338384  -4.277270529
  4.9097703 -14.927602363
  2.8660876  -3.712632610
  4.7925883 -11.083148721
  1.1786875  -0.415169311
 12.8457652 -16.706760797
 17.5253843 -58.424016077
 15.5782935 -48.067294731
 15.9461765 -46.750015960
  9.1054891 -33.103431414
  8.2016816 -28.435272208
 16.2174049 -65.099010064
 12.0986658 -22.265077554
 13.0944786 -35.779447564
  7.0639454 -25.421427300
  5.4052029  -8.574277852
 19.8536812 -65.333443208
 12.6698653 -38.621235014
  4.2641627  21.349120991
  2.5874470  -4.056483536
  9.5623607 -18.482480749
 18.4814894 -72.005696810
 11.9752193 -35.502080278
 19.5234139 -71.509712616
 14.6358502 -50.466792188
  7.1345382  -7.992813212
  8.6294738 -17.404026307
  2.9642312  -2.907863983
  0.2615515  11.516652931
 14.3113213 -54.518849016
  2.0636847   2.374108683
  8.9256870  -4.649689365
 12.8020209 -35.520284249
 19.8367724 -62.247578790
  9.9118716 -29.017530465
  9.6869905 -26.496087212
  3.4688467  29.612928568
 15.0964189 -38.473845970
  9.0779098  -7.833806416
 10.2233957 -21.098564336
  4.1509023   1.646458468
  4.5731629  -9.167013708
 11.9142399 -29.184797583
 11.4974440  -9.572262627
  1.5412876   3.235041656
  0.7108116   8.411802055
 12.8559098 -31.371192746
 18.5723040 -71.605645342
 11.9618484 -36.056420306
 11.2180150 -31.918598094
 10.5205545 -35.739326483
 19.7019045 -63.105834922
 10.1528364  -9.237424677
 13.6557616 -16.319203175
 12.0308244 -40.882036720
  4.7773736  -5.477207402
  5.1633185  -9.194941462
 14.5861925 -41.549613067
  9.0514166 -26.598997589
  3.5025354  -1.459751549
 14.9339654 -52.372607672
  2.0997528   2.500185780
 17.2908990 -51.058841645
 12.2928994 -35.519291943
 11.1431908 -43.828986376
  6.5755464  -7.740901948
  9.0626289 -23.867904983
 10.0088195  -5.826331019
  3.6173272  -5.095875578
 10.5926121 -21.214485980
  1.5055149  -4.642854755
  5.5551187   0.274421201
  4.2539904  -4.354550546
  5.6958096 -19.204364077
 17.9018821 -59.772816390
  8.9247065 -15.128829327
 15.5996978 -51.962958213
 17.6123807 -54.883437457
  8.2624842 -12.572622954
  1.2761696  -4.660557160
  6.7097498 -10.291197381
 14.4745189 -40.657058891
  6.7523067 -14.205265150
 12.6082824 -37.421746667
 16.8122911 -52.131339977
 17.1226333 -41.926810546
  7.8271856 -22.805392536
  7.6098777 -22.198974158
 17.9089085 -58.339931999
 12.8863153 -40.207517456
 14.8215730 -36.964309273
 12.1060689 -41.149036183
 18.0616322 -57.925117234
  5.8746031 -11.265337213
  3.8252022  -1.451590120
 17.7290189 -54.184211659
 10.0667897  -6.821320756
 17.5411509 -60.643699440
  3.7838724  -6.759839895
 15.1620610 -40.858289730
 14.4899779 -37.052154353
 18.8744964 -70.351781231
 10.9529317 -13.659833237
 14.2348774 -50.614504025
  7.7781020 -25.593147451
  2.0174625  16.703096288
 18.5460418 -59.640284708
  5.6646500 -16.876646156
 11.8114632 -35.742395972
  2.2072121   6.418231029
 16.8101406 -55.935257405
  6.3592737 -14.419961635
 15.6570267 -56.138569288
